[layered] start gain 8.0 threshold 0.2 kept 0.388 (57s)
[layered] ep 3 batch 2900 loss 1.354 kc 0.096 (4416s)
[layered] ep 3 batch 3000 loss 1.325 kc 0.102 (4460s)
[layered] epoch 3: loss 1.382 val 0.409 (4502s)
[layered] ep 4 batch 0 loss 0.963 kc 0.107 (4502s)
[layered] ep 4 batch 100 loss 1.310 kc 0.101 (4546s)
[layered] ep 4 batch 200 loss 1.341 kc 0.104 (4589s)
[layered] ep 4 batch 300 loss 1.427 kc 0.109 (4632s)
[layered] ep 4 batch 400 loss 1.374 kc 0.126 (4676s)
[layered] ep 4 batch 500 loss 1.412 kc 0.144 (4720s)
[layered] ep 4 batch 600 loss 1.367 kc 0.101 (4764s)
[layered] ep 4 batch 700 loss 1.338 kc 0.099 (4807s)
[layered] ep 4 batch 800 loss 1.378 kc 0.116 (4850s)
[layered] ep 4 batch 900 loss 1.429 kc 0.103 (4893s)
[layered] ep 4 batch 1000 loss 1.322 kc 0.122 (4937s)
[layered] ep 4 batch 1100 loss 1.266 kc 0.103 (4980s)
[layered] ep 4 batch 1200 loss 1.343 kc 0.131 (5023s)
[layered] ep 4 batch 1300 loss 1.393 kc 0.127 (5066s)
[layered] ep 4 batch 1400 loss 1.321 kc 0.144 (5111s)
[layered] ep 4 batch 1500 loss 1.383 kc 0.110 (5154s)
[layered] ep 4 batch 1600 loss 1.413 kc 0.104 (5198s)
[layered] ep 4 batch 1700 loss 1.262 kc 0.129 (5243s)
[layered] ep 4 batch 1800 loss 1.242 kc 0.108 (5287s)
[layered] ep 4 batch 1900 loss 1.262 kc 0.097 (5331s)
[layered] ep 4 batch 2000 loss 1.392 kc 0.105 (5374s)
[layered] ep 4 batch 2100 loss 1.370 kc 0.118 (5418s)
[layered] ep 4 batch 2200 loss 1.304 kc 0.101 (5462s)
[layered] ep 4 batch 2300 loss 1.322 kc 0.130 (5506s)
[layered] ep 4 batch 2400 loss 1.316 kc 0.124 (5550s)
[layered] ep 4 batch 2500 loss 1.378 kc 0.110 (5594s)
[layered] ep 4 batch 2600 loss 1.392 kc 0.114 (5637s)
[layered] ep 4 batch 2700 loss 1.392 kc 0.113 (5681s)
[layered] ep 4 batch 2800 loss 1.473 kc 0.120 (5724s)
[layered] ep 4 batch 2900 loss 1.418 kc 0.107 (5768s)
[layered] epoch 4: loss 1.354 val 0.418 (5847s)
[layered] ep 5 batch 0 loss 1.026 kc 0.116 (5847s)
[layered] ep 5 batch 100 loss 1.307 kc 0.111 (5890s)
[layered] ep 5 batch 200 loss 1.336 kc 0.114 (5934s)
[layered] ep 5 batch 300 loss 1.334 kc 0.122 (5978s)
[layered] ep 5 batch 400 loss 1.352 kc 0.123 (6022s)
[layered] ep 5 batch 500 loss 1.383 kc 0.105 (6064s)
[layered] ep 5 batch 600 loss 1.289 kc 0.098 (6108s)
[layered] ep 5 batch 700 loss 1.360 kc 0.111 (6151s)
[layered] ep 5 batch 800 loss 1.291 kc 0.098 (6195s)
[layered] ep 5 batch 900 loss 1.285 kc 0.111 (6239s)
[layered] ep 5 batch 1000 loss 1.349 kc 0.126 (6283s)
[layered] ep 5 batch 1100 loss 1.384 kc 0.102 (6327s)
[layered] ep 5 batch 1200 loss 1.351 kc 0.112 (6370s)
[layered] ep 5 batch 1300 loss 1.400 kc 0.135 (6413s)
[layered] ep 5 batch 1400 loss 1.375 kc 0.120 (6458s)
[layered] ep 5 batch 1500 loss 1.426 kc 0.106 (6501s)
[layered] ep 5 batch 1600 loss 1.336 kc 0.120 (6544s)
[layered] ep 5 batch 1700 loss 1.258 kc 0.123 (6588s)
[layered] ep 5 batch 1800 loss 1.328 kc 0.114 (6631s)
[layered] ep 5 batch 1900 loss 1.302 kc 0.112 (6675s)
[layered] ep 5 batch 2000 loss 1.337 kc 0.115 (6718s)
[layered] ep 5 batch 2100 loss 1.324 kc 0.129 (6761s)
[layered] ep 5 batch 2200 loss 1.355 kc 0.124 (6806s)
[layered] ep 5 batch 2300 loss 1.254 kc 0.126 (6850s)
[layered] ep 5 batch 2400 loss 1.353 kc 0.142 (6894s)
[layered] ep 5 batch 2500 loss 1.421 kc 0.121 (6937s)
[layered] ep 5 batch 2600 loss 1.272 kc 0.127 (6981s)
[layered] ep 5 batch 2700 loss 1.272 kc 0.117 (7025s)
[layered] ep 5 batch 2800 loss 1.258 kc 0.117 (7069s)
[layered] ep 5 batch 2900 loss 1.331 kc 0.128 (7112s)
[layered] epoch 5: loss 1.331 val 0.409 (7193s)
[layered] ep 6 batch 0 loss 1.824 kc 0.136 (7193s)
[layered] ep 6 batch 100 loss 1.345 kc 0.118 (7238s)
[layered] ep 6 batch 200 loss 1.262 kc 0.122 (7282s)
[layered] ep 6 batch 300 loss 1.345 kc 0.121 (7326s)
[layered] ep 6 batch 400 loss 1.347 kc 0.121 (7370s)
[layered] ep 6 batch 500 loss 1.333 kc 0.128 (7413s)
[layered] ep 6 batch 600 loss 1.233 kc 0.117 (7457s)
[layered] ep 6 batch 700 loss 1.297 kc 0.119 (7501s)
[layered] ep 6 batch 800 loss 1.291 kc 0.128 (7544s)
[layered] ep 6 batch 900 loss 1.333 kc 0.119 (7587s)
[layered] ep 6 batch 1000 loss 1.329 kc 0.119 (7631s)
[layered] ep 6 batch 1100 loss 1.390 kc 0.126 (7674s)
[layered] ep 6 batch 1200 loss 1.329 kc 0.122 (7717s)
[layered] ep 6 batch 1300 loss 1.341 kc 0.122 (7761s)
[layered] ep 6 batch 1400 loss 1.220 kc 0.126 (7805s)
[layered] ep 6 batch 1500 loss 1.356 kc 0.127 (7849s)
[layered] ep 6 batch 1600 loss 1.415 kc 0.131 (7893s)
[layered] ep 6 batch 1700 loss 1.304 kc 0.111 (7937s)
[layered] ep 6 batch 1800 loss 1.306 kc 0.118 (7980s)
[layered] ep 6 batch 1900 loss 1.325 kc 0.107 (8024s)
[layered] ep 6 batch 2000 loss 1.288 kc 0.125 (8068s)
[layered] ep 6 batch 2100 loss 1.390 kc 0.109 (8112s)
[layered] ep 6 batch 2200 loss 1.315 kc 0.119 (8156s)
[layered] ep 6 batch 2300 loss 1.297 kc 0.135 (8200s)
[layered] ep 6 batch 2400 loss 1.423 kc 0.100 (8243s)
[layered] ep 6 batch 2500 loss 1.353 kc 0.138 (8287s)
[layered] ep 6 batch 2600 loss 1.319 kc 0.114 (8330s)
