[real] start gain 2.0 threshold 0.05 kept 0.555 (56s)
[real] ep 4 batch 0 loss 0.847 kc 0.126 (4035s)
[real] ep 4 batch 100 loss 1.279 kc 0.102 (4079s)
[real] ep 4 batch 200 loss 1.322 kc 0.149 (4121s)
[real] ep 4 batch 300 loss 1.371 kc 0.129 (4163s)
[real] ep 4 batch 400 loss 1.311 kc 0.150 (4207s)
[real] ep 4 batch 500 loss 1.348 kc 0.191 (4250s)
[real] ep 4 batch 600 loss 1.352 kc 0.107 (4294s)
[real] ep 4 batch 700 loss 1.290 kc 0.121 (4336s)
[real] ep 4 batch 800 loss 1.346 kc 0.119 (4378s)
[real] ep 4 batch 900 loss 1.393 kc 0.105 (4421s)
[real] ep 4 batch 1000 loss 1.319 kc 0.145 (4464s)
[real] ep 4 batch 1100 loss 1.219 kc 0.130 (4507s)
[real] ep 4 batch 1200 loss 1.308 kc 0.127 (4549s)
[real] ep 4 batch 1300 loss 1.341 kc 0.118 (4592s)
[real] ep 4 batch 1400 loss 1.335 kc 0.113 (4636s)
[real] ep 4 batch 1500 loss 1.392 kc 0.149 (4679s)
[real] ep 4 batch 1600 loss 1.378 kc 0.127 (4722s)
[real] ep 4 batch 1700 loss 1.241 kc 0.085 (4766s)
[real] ep 4 batch 1800 loss 1.221 kc 0.120 (4810s)
[real] ep 4 batch 1900 loss 1.237 kc 0.146 (4853s)
[real] ep 4 batch 2000 loss 1.306 kc 0.127 (4895s)
[real] ep 4 batch 2100 loss 1.365 kc 0.103 (4939s)
[real] ep 4 batch 2200 loss 1.276 kc 0.121 (4982s)
[real] ep 4 batch 2300 loss 1.289 kc 0.144 (5025s)
[real] ep 4 batch 2400 loss 1.324 kc 0.127 (5069s)
[real] ep 4 batch 2500 loss 1.324 kc 0.122 (5112s)
[real] ep 4 batch 2600 loss 1.342 kc 0.120 (5155s)
[real] ep 4 batch 2700 loss 1.371 kc 0.167 (5198s)
[real] ep 4 batch 2800 loss 1.377 kc 0.145 (5240s)
[real] ep 4 batch 2900 loss 1.431 kc 0.142 (5284s)
[real] epoch 4: loss 1.322 val 0.411 (5361s)
[real] ep 5 batch 0 loss 1.019 kc 0.153 (5362s)
[real] ep 5 batch 100 loss 1.279 kc 0.180 (5404s)
[real] ep 5 batch 200 loss 1.309 kc 0.160 (5447s)
[real] ep 5 batch 300 loss 1.277 kc 0.120 (5491s)
[real] ep 5 batch 400 loss 1.346 kc 0.142 (5534s)
[real] ep 5 batch 500 loss 1.383 kc 0.089 (5576s)
[real] ep 5 batch 600 loss 1.241 kc 0.146 (5619s)
[real] ep 5 batch 700 loss 1.317 kc 0.088 (5662s)
[real] ep 5 batch 800 loss 1.249 kc 0.112 (5705s)
[real] ep 5 batch 900 loss 1.262 kc 0.090 (5748s)
[real] ep 5 batch 1000 loss 1.333 kc 0.079 (5792s)
[real] ep 5 batch 1100 loss 1.325 kc 0.140 (5835s)
[real] ep 5 batch 1200 loss 1.300 kc 0.101 (5878s)
[real] ep 5 batch 1300 loss 1.353 kc 0.162 (5920s)
[real] ep 5 batch 1400 loss 1.346 kc 0.136 (5964s)
[real] ep 5 batch 1500 loss 1.370 kc 0.064 (6007s)
[real] ep 5 batch 1600 loss 1.314 kc 0.090 (6050s)
[real] ep 5 batch 1700 loss 1.231 kc 0.105 (6093s)
[real] ep 5 batch 1800 loss 1.241 kc 0.149 (6135s)
[real] ep 5 batch 1900 loss 1.254 kc 0.105 (6179s)
[real] ep 5 batch 2000 loss 1.315 kc 0.098 (6221s)
[real] ep 5 batch 2100 loss 1.288 kc 0.145 (6264s)
[real] ep 5 batch 2200 loss 1.293 kc 0.121 (6307s)
[real] ep 5 batch 2300 loss 1.245 kc 0.107 (6352s)
[real] ep 5 batch 2400 loss 1.322 kc 0.122 (6395s)
[real] ep 5 batch 2500 loss 1.370 kc 0.125 (6437s)
[real] ep 5 batch 2600 loss 1.246 kc 0.139 (6481s)
[real] ep 5 batch 2700 loss 1.253 kc 0.154 (6524s)
[real] ep 5 batch 2800 loss 1.231 kc 0.117 (6567s)
[real] ep 5 batch 2900 loss 1.300 kc 0.108 (6610s)
[real] epoch 5: loss 1.295 val 0.429 (6689s)
[real] ep 6 batch 0 loss 1.453 kc 0.134 (6690s)
[real] ep 6 batch 100 loss 1.300 kc 0.128 (6734s)
[real] ep 6 batch 200 loss 1.218 kc 0.095 (6777s)
[real] ep 6 batch 300 loss 1.313 kc 0.122 (6820s)
[real] ep 6 batch 400 loss 1.277 kc 0.143 (6864s)
[real] ep 6 batch 500 loss 1.289 kc 0.101 (6907s)
[real] ep 6 batch 600 loss 1.174 kc 0.098 (6950s)
[real] ep 6 batch 700 loss 1.268 kc 0.109 (6993s)
[real] ep 6 batch 800 loss 1.266 kc 0.113 (7036s)
[real] ep 6 batch 900 loss 1.279 kc 0.115 (7078s)
[real] ep 6 batch 1000 loss 1.301 kc 0.106 (7121s)
[real] ep 6 batch 1100 loss 1.312 kc 0.132 (7164s)
[real] ep 6 batch 1200 loss 1.285 kc 0.094 (7206s)
[real] ep 6 batch 1300 loss 1.285 kc 0.111 (7249s)
[real] ep 6 batch 1400 loss 1.206 kc 0.131 (7294s)
[real] ep 6 batch 1500 loss 1.293 kc 0.090 (7337s)
[real] ep 6 batch 1600 loss 1.359 kc 0.128 (7380s)
[real] ep 6 batch 1700 loss 1.260 kc 0.123 (7423s)
[real] ep 6 batch 1800 loss 1.304 kc 0.104 (7466s)
[real] ep 6 batch 1900 loss 1.294 kc 0.118 (7509s)
[real] ep 6 batch 2000 loss 1.258 kc 0.134 (7553s)
[real] ep 6 batch 2100 loss 1.358 kc 0.149 (7596s)
[real] ep 6 batch 2200 loss 1.267 kc 0.176 (7639s)
[real] ep 6 batch 2300 loss 1.276 kc 0.136 (7682s)
[real] ep 6 batch 2400 loss 1.387 kc 0.181 (7726s)
[real] ep 6 batch 2500 loss 1.343 kc 0.110 (7768s)
[real] ep 6 batch 2600 loss 1.282 kc 0.136 (7811s)
[real] ep 6 batch 2700 loss 1.385 kc 0.131 (7854s)
[real] ep 6 batch 2800 loss 1.311 kc 0.122 (7897s)
[real] ep 6 batch 2900 loss 1.266 kc 0.142 (7941s)
[real] epoch 6: loss 1.288 val 0.414 (8015s)
[real] ep 7 batch 0 loss 0.830 kc 0.160 (8015s)
[real] ep 7 batch 100 loss 1.251 kc 0.104 (8058s)
[real] ep 7 batch 200 loss 1.317 kc 0.123 (8102s)
[real] ep 7 batch 300 loss 1.224 kc 0.127 (8145s)
[real] ep 7 batch 400 loss 1.192 kc 0.123 (8189s)
[real] ep 7 batch 500 loss 1.348 kc 0.096 (8232s)
[real] ep 7 batch 600 loss 1.209 kc 0.108 (8274s)
[real] ep 7 batch 700 loss 1.247 kc 0.126 (8318s)
[real] ep 7 batch 800 loss 1.467 kc 0.148 (8361s)
[real] ep 7 batch 900 loss 1.202 kc 0.105 (8405s)
[real] ep 7 batch 1000 loss 1.314 kc 0.093 (8448s)
[real] ep 7 batch 1100 loss 1.279 kc 0.121 (8490s)
[real] ep 7 batch 1200 loss 1.263 kc 0.097 (8532s)
[real] ep 7 batch 1300 loss 1.280 kc 0.134 (8574s)
[real] ep 7 batch 1400 loss 1.205 kc 0.125 (8618s)
[real] ep 7 batch 1500 loss 1.264 kc 0.111 (8660s)
[real] ep 7 batch 1600 loss 1.331 kc 0.122 (8702s)
[real] ep 7 batch 1700 loss 1.355 kc 0.135 (8745s)
[real] ep 7 batch 1800 loss 1.294 kc 0.103 (8788s)
[real] ep 7 batch 1900 loss 1.193 kc 0.134 (8832s)
[real] ep 7 batch 2000 loss 1.339 kc 0.120 (8874s)
[real] ep 7 batch 2100 loss 1.141 kc 0.128 (8918s)
[real] ep 7 batch 2200 loss 1.368 kc 0.104 (8961s)
[real] ep 7 batch 2300 loss 1.231 kc 0.152 (9004s)
[real] ep 7 batch 2400 loss 1.284 kc 0.105 (9045s)
[real] ep 7 batch 2500 loss 1.366 kc 0.115 (9089s)
[real] ep 7 batch 2600 loss 1.282 kc 0.103 (9131s)
[real] ep 7 batch 2700 loss 1.328 kc 0.079 (9174s)
[real] ep 7 batch 2800 loss 1.242 kc 0.124 (9217s)
[real] ep 7 batch 2900 loss 1.360 kc 0.105 (9260s)
[real] epoch 7: loss 1.279 val 0.429 (9342s)
[real] ep 8 batch 0 loss 0.979 kc 0.122 (9342s)
[real] ep 8 batch 100 loss 1.333 kc 0.113 (9386s)
[real] ep 8 batch 200 loss 1.217 kc 0.142 (9428s)
[real] ep 8 batch 300 loss 1.271 kc 0.124 (9472s)
[real] ep 8 batch 400 loss 1.195 kc 0.089 (9515s)
[real] ep 8 batch 500 loss 1.178 kc 0.137 (9558s)
[real] ep 8 batch 600 loss 1.242 kc 0.131 (9602s)
[real] ep 8 batch 700 loss 1.432 kc 0.110 (9644s)
[real] ep 8 batch 800 loss 1.401 kc 0.098 (9688s)
[real] ep 8 batch 900 loss 1.340 kc 0.106 (9730s)
[real] ep 8 batch 1000 loss 1.224 kc 0.116 (9774s)
[real] ep 8 batch 1100 loss 1.281 kc 0.168 (9816s)
[real] ep 8 batch 1200 loss 1.306 kc 0.128 (9859s)
[real] ep 8 batch 1300 loss 1.176 kc 0.141 (9903s)
[real] ep 8 batch 1400 loss 1.209 kc 0.118 (9946s)
[real] ep 8 batch 1500 loss 1.317 kc 0.104 (9988s)
[real] ep 8 batch 1600 loss 1.330 kc 0.122 (10031s)
[real] ep 8 batch 1700 loss 1.239 kc 0.132 (10075s)
[real] ep 8 batch 1800 loss 1.186 kc 0.126 (10118s)
[real] ep 8 batch 1900 loss 1.321 kc 0.093 (10160s)
[real] ep 8 batch 2000 loss 1.228 kc 0.111 (10203s)
[real] ep 8 batch 2100 loss 1.309 kc 0.126 (10245s)
[real] ep 8 batch 2200 loss 1.296 kc 0.102 (10288s)
[real] ep 8 batch 2300 loss 1.284 kc 0.097 (10331s)
[real] ep 8 batch 2400 loss 1.250 kc 0.130 (10375s)
[real] ep 8 batch 2500 loss 1.198 kc 0.105 (10418s)
[real] ep 8 batch 2600 loss 1.263 kc 0.108 (10462s)
[real] ep 8 batch 2700 loss 1.231 kc 0.157 (10505s)
[real] ep 8 batch 2800 loss 1.200 kc 0.088 (10548s)
[real] ep 8 batch 2900 loss 1.320 kc 0.078 (10590s)
[real] epoch 8: loss 1.271 val 0.411 (10669s)
[real] done: test 0.419 cold 0.510 (10814s)
exit 0
